Nom de l'offre touristique;Type de restaurant;Catégorie du restaurant;Adresse1;Adresse2;Adresse3;Code postal;Cedex;Bureau distributeur;Commune;Code Insee de la Commune;latitude;longitude;Situation de l'offre;N° de téléphone mobile;N° de téléphone fixe;N° de fax;Adresse e-Mail;Url du site web;Url pour accéder à la vidéo;Type de plateforme/url;widget tripadvisor;Code Embed pour intégrer une video;Classement dans les guides restaurants;Label classement logis;Label tourisme handicap;Animal accepté: oui / non;Complément information animal accepté;Labels;Service(s) proposé(s) sur l'équipement;Nombre max couverts;Nombre salles restaurant;Nombre max couverts en terrasse;Nombre salles de réunion;Nombre salles climatisées;Présence de l'offre sur les grands itinéraires vélo;Langue(s) parlée(s) à l'accueil;Langue(s) parlée(s) à l'accueil;Nombre personnes min pour les groupes;Nombre personnes max pour les groupes;Ouvert toute l'année: oui / non;Horaires d'ouvertures;Moyen(s) de réservation directe;Centrale de réservation en ligne?;Moyen(s) de réservation en ligne;Tarifs;Mode(s) de paiement accepté(s);localisation;Département
CRÊPERIE À LA BELLE SAISON;Restaurant;Crêperie;;Manoir de la Jonchère;;53270;;;THORIGNE-EN-CHARNIE;53264;47.9924268;-0.3569039;;06 81 56 63 75;02 43 90 59 99;;manoirdelajonchere@hotmail.fr;;;;;;;;;oui;uniquement dans le parc;;Plats à emporter,Service en terrasse;35;1;15;;;;oui;oui;;20;non;01/04/2023||30/09/2023||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;||02 43 90 59 99||manoirdelajonchere@hotmail.fr;;;Plats à la carte||3,10||13,00||;Cartes bancaires,Chèques bancaires et postaux;47.9924268, -0.3569039;Mayenne
CÔTÉ CRÊPES;Restaurant;Crêperie;;30 avenue du Général de Gaulle;;44500;;;LA BAULE-ESCOUBLAC;44055;47.28304;-2.39204;;;02 40 24 59 76;;michelgastine@orange.fr;;;;;;;;;;;;Service en terrasse;;;;;;;;;;;;01/01/2022||31/12/2022||||||||||||||12:00||21:30||||||12:00||21:30||||||12:00||21:30||||||12:00||21:30||||||12:00||21:00||||||12:00||18:30||||;;;;;;47.28304, -2.39204;Loire-Atlantique
DELICIOUS - BAR À THÉ;;Salon de thé;;31 Rue Ambroise Paré;;53000;;;LAVAL;53130;48.06856;-0.76748;;0787251553;;;tedleeh@icloud.com;;;;;;;;;;;;;10;1;;;;;;;;;;||||||||||||||||||||||||||||||||||||||||08:00||18:00||||||08:00||18:00||||||08:00||18:00||||;;;;;;48.06856, -0.76748;Mayenne
DISTRIBUTEUR DE PLATS TRADITIONNELS;Restaurant;Cuisine traditionnelle;;Place de la Mairie;Bazouges sur le Loir;72200;;;BAZOUGES CRÉ SUR LOIR;72025;47.68889;-0.1714758;;;;;;http://restaurantaugardemanger.jimdo.com;;Facebook||https://www.facebook.com/pages/Au-Garde-Manger/631771646838712?ref=hl;;;;;;;;Maitres Restaurateurs;Plats à emporter,Plats à emporter / Covid-19;;;;;;;;;;;oui;;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant,Virement;47.68889, -0.1714758;Sarthe
DOMAINE DE LA FERRIÈRE;Restaurant;Restaurant gastronomique - cuisine raffinée;;rue Winston Churchill;Route de Moisdon la Riviere (D178);44110;;;CHATEAUBRIANT;44036;47.6985719;-1.381058;;;02 40 28 00 28;;contact@hotellaferriere.fr;www.hotellaferriere.fr;;;;;;;;oui;;;Banquet,Séminaire,Service en terrasse,WiFi;450;6;;;;;oui;oui;;;oui;||||||fermé les vendredi soir et dimanche soir||||||||||||||||||||||||||||||||||||||||||||||||||||||||;||02 40 28 00 28||;;;||22,00||||;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances;47.6985719, -1.381058;Loire-Atlantique
DOMINO'S PIZZA;Restaurant;Pizzeria;;13 rue de Nantes;;44160;;;PONTCHATEAU;44129;47.43714;-2.08876;;;02 40 24 24 24;;dominospontchateau@gmail.com;http://www.dominos.fr;;;;;;;;;;;;;;;;;;;;;;;01/01/2022||31/12/2022||||||11:30||14:00||18:00||22:00||11:30||14:00||18:00||22:00||11:30||14:00||18:00||22:00||11:30||14:00||18:00||22:00||11:30||14:00||18:00||22:30||11:30||14:00||18:00||22:30||11:30||14:00||18:00||22:00;;;;;;47.43714, -2.08876;Loire-Atlantique
DU CÔTÉ DE CHEZ VOUS;Restaurant;Restauration rapide;;14 Rue Saint Georges;;44390;;;NORT-SUR-ERDRE;44110;47.4399561;-1.4937744;;;02 72 02 77 75;;;https://www.facebook.com/Du-C%C3%B4t%C3%A9-de-Chez-Vous-Restauration-Rapide-Kebab-1063871070319421/likes?ref=page_internal;;Facebook||https://www.facebook.com/Du-C%C3%B4t%C3%A9-de-Chez-Vous-Restauration-Rapide-Kebab-1063871070319421/likes?ref=page_internal;;;;;;;;;Plats à emporter;;2;;;;;;;;;oui;||||Tous les jours sauf le dimanche midi||||11:30||15:00||18:00||01:00||11:30||15:00||18:00||01:00||11:30||||||01:00||11:00||15:00||18:00||01:00||11:30||15:00||18:00||01:30||11:30||||||01:30||||||17:00||01:00;;;;;Cartes bancaires,Chèques bancaires et postaux;47.4399561, -1.4937744;Loire-Atlantique
EL PORRON - BAR À TAPAS;Restaurant;;;9 Faubourg Saint-Michel;;44350;;;GUERANDE;44069;47.32703;-2.42625;;;06 98 40 15 55;;el.porron.guerande@gmail.com;https://www.facebook.com/El-porron-103414422411790/?ref=page_internal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.32703, -2.42625;Loire-Atlantique
ET PÂTES & VOUS;Restaurant;Restauration rapide;;32, rue Alexis Letourneau;;44170;;;NOZAY;44113;47.5640875;-1.6266101;;;;;contact@etpatesetvous.com;;;Facebook||https://www.facebook.com/etpatesetvous;;;;;;;;;;;;;;;;;;;;oui;;;;;;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.5640875, -1.6266101;Loire-Atlantique
FAST PIZZA DELICIOSA;Restaurant;Restauration rapide;16, rue Ledru Rollin;;;72400;;;LA FERTE-BERNARD;72132;48.1843102;0.65778144;;;02 44 53 71 03;;;http://fast-pizza-deliciosas.eatbu.com/;;;;;;;;;;;Plats à emporter;;1;0;0;;;;;;;;||||||||||||||||18:00||22:00||||||18:00||22:00||||||18:00||22:00||||||18:00||22:30||||||18:00||22:30||||||18:00||22:00||||;;;;;;48.1843102, 0.65778144;Sarthe
FOLLE SAISON;Restaurant;Cuisine traditionnelle;;8 rue de l'Eglise;;44210;;;PORNIC;44131;47.11559;-2.10394;;;06 12 32 62 38;;k.hersan@wanadoo.fr;;;;;;;;;oui;;;;16;1;16;;;;;;;;;;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.11559, -2.10394;Loire-Atlantique
FOOD TRUCK - ROAD THAÏ;;Cuisine du Monde;;;;72000;;;LE MANS;72181;48.0157803;0.1609266;;07 64 09 22 26;;;bonjour@road-thai.fr;www.road-thai.fr;;Facebook||https://www.facebook.com/roadthai/;;;;;;;;;Banquet,Plats à emporter,Traiteur;;;;;;;oui;oui;;;oui;;;;;;Cartes bancaires,Espèces,Tickets Restaurant;48.0157803, 0.1609266;Sarthe
FOODTRUCK DE PIZZAS CUITES AU FEU DE BOIS;Restaurant;Pizzeria;;Parking de la Mairie;17 rue du Chevecier;44730;;;SAINT-MICHEL-CHEF-CHEF;44182;47.18241;-2.14735;;;07 78 12 66 80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.18241, -2.14735;Loire-Atlantique
GUINGUETTE CHEZ NINI;Restaurant;Guinguette;;Rue du Val St Sulpice;;49125;;;CHEFFES;49090;47.6222602;-0.5053402;;06 74 86 43 81;;;contact@cheznini.fr;;;;;;;;;oui;;;Service en terrasse;;;;;;;oui;oui;;;non;;GORANI||06 74 86 43 81||contact@cheznini.fr;;;;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.6222602, -0.5053402;Maine-et-Loire
GUINGUETTE COURT CIRCUIT JUVARDEIL;Restaurant;Guinguette;;5 rue de l'Hormeau;;49330;;;JUVARDEIL;49170;47.6564811;-0.4973191;;;02 41 93 96 07;;scop-lestrognes@mailo.fr;;;Facebook||https://www.facebook.com/CourtCircuitJuvardeil/photos/?ref=page_internal;;;;;;oui;animaux accepté tenue en laisse;;Service en terrasse;70;1;60;;;;oui;oui;10;60;oui;"06/10/2022||30/04/2023||Ouvert toute la journée du jeudi au dimanche||Fermé du lundi au mercredi||||||||||||||||||||||||||12:00||00:00||||||12:00||01:00||||||12:00||01:00||||||12:00||22:00|||| ; 01/05/2023||30/09/2023||ouvert toute la journée du jeudi au lundi||fermé le mardi et mercredi||11:30||00:00||||||||||||||||||||||11:30||00:00||||||11:30||01:00||||||11:30||01:00||||||11:30||00:00||||";Court Circuit||02 41 93 96 07||scop-lestrognes@mailo.fr;;;Plats à la carte||4,00||16,00||;Cartes bancaires,Chèques bancaires et postaux,Espèces,Tickets Restaurant;47.6564811, -0.4973191;Maine-et-Loire
GUINGUETTE DE L'EPERON - ANCENIS;Restaurant;Guinguette;;Jardin de l'Eperon;;44150;;;ANCENIS-SAINT-GEREON;44003;47.3629519;-1.1789328;;;;;guinguettedeleperon@gmail.com;;;Facebook||https://www.facebook.com/GuinguetteEperon;;;;;;;;;;;;;;;;;;;;non;;;;;;Cartes bancaires,Espèces;47.3629519, -1.1789328;Loire-Atlantique
GUINGUETTE DU GUÉ DE SELLE;Restaurant;Cuisine traditionnelle;;;;53600;;;MEZANGERS;53153;48.2006082;-0.4354325;;;;;laguinguetteduguedeselle@gmail.com;;;Facebook||https://www.facebook.com/laguinguetteduguedeselle/;;;;;;;;;Service en terrasse,WiFi;20;1;40;;;;oui;oui;;;oui;"05/02/2023||31/12/2023||Ouverture durant les vacances scolaires du mercredi au vendredi de 12h à 16h, le week-end de 14h à 17h||||||||||||||||||||||||12:00||14:00||||||12:00||14:00||||||12:00||14:00||||||14:00||17:00||||||14:00||17:00 ; 02/07/2023||31/08/2023||||||||||||||||||12:00||20:00||||||12:00||20:00||||||12:00||22:00||||||12:00||23:00||||||12:00||23:00||||||12:00||20:00";;;;Menu adulte du jour (midi en semaine)||13,00||||;Cartes bancaires,Chèques bancaires et postaux,Espèces;48.2006082, -0.4354325;Mayenne
GUINGUETTE FISH & SHEEP;Restaurant;Guinguette;;La Carrière, Promenade Julien Gracq;SAINT-FLORENT-LE-VIEIL;49410;;;MAUGES-SUR-LOIRE;49244;47.3638527;-1.0127269;;;;;fishandsheep49@gmail.com;;;Facebook||https://www.facebook.com/Fish-Sheep-103477955307901/;;;;;;;;Accueil Vélo;Plats à emporter;;;;;;;;;;;non;;;;;;Cartes bancaires,Chèques bancaires et postaux;47.3638527, -1.0127269;Maine-et-Loire
GUINGUETTE LOUET EVASION;Restaurant;Guinguette;;;Le Champ du Bois;49290;;;CHALONNES-SUR-LOIRE;49063;47.3503577;-0.740754;;;;;;;;"Facebook||https://www.facebook.com/LouetEvasion ; Instagram||https://instagram.com/louet_evasion_off/";;;;;;;;;Banquet,Bon cadeau,Service en terrasse;160;;;;;;;;;;;;;;;;;47.3503577, -0.740754;Maine-et-Loire
HA MY;Restaurant;Restauration rapide;20 Place Georges Daudet;;;44140;;;GENESTON;44223;47.05598;-1.51259;;;06 50 74 49 26;;;;;;;;;;;;;;;;;;;;;;;;;oui;||||ouvert midi et soir du mardi au dimanche ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;||06 50 74 49 26||;;;;;47.05598, -1.51259;Loire-Atlantique
HABANA CAFÉ;Restaurant;;;299 avenue de Lattre de Tassigny;;44500;;;LA BAULE-ESCOUBLAC;44055;47.28665;-2.39278;;;02 40 11 91 95;;;;;;;;;;;non;;;;;;;;;;;;;;;01/01/2022||31/12/2022||||||||||||||23:00||04:00||||||23:00||04:00||||||23:00||04:00||||||23:00||04:00||||||23:00||04:00||||||23:00||04:00||||;;;;;Cartes bancaires,Espèces;47.28665, -2.39278;Loire-Atlantique
IL CALCIO - DISTRIBUTEUR DE PIZZA;Restaurant;Restauration rapide;;23 rue du coq hardi;;72140;;;SILLE-LE-GUILLAUME;72334;48.183163;-0.1298943;;;;;tradipizza1@gmail.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.183163, -0.1298943;Sarthe
IMAGINE;Restaurant;;;12 rue Gresset;;44100;;;NANTES;44109;47.211879;-1.564648;;;02 40 34 06 11;;;;;Facebook||https://www.facebook.com/ImagineRestaurant/;;;Les Tables de Nantes;;;;;;;;;;;;;;;;;;;;;;;;47.211879, -1.564648;Loire-Atlantique
Intermezzo;;;;rue de la résistance;;44290;;;Guémené-Penfao;44067;47.6283301;-1.8387977;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.6283301, -1.8387977;Loire-Atlantique
JARDIN D'ASIE;Restaurant;Cuisine du Monde;;17 Rue du Bois Savary;;44600;;;SAINT-NAZAIRE;44184;47.27492;-2.209;"Transport en commun||Ligne Hélyce - Arrêt Rue de la Paix||0,26 ; Transport en commun||Ligne U2 - Arrêt Ruban Bleu||0,23 ; Transport en commun||Ligne U3 - Arrêt Maudes||0,35";07 52 03 60 36;;;;https://www.jardin-dasie.fr/;;"Facebook||https://www.facebook.com/jardindasie44/ ; Instagram||https://www.instagram.com/jardindasie44/";;;;;;;;Welcome ! C’est beau ici !;Plats à emporter,Service en terrasse;24;2;;;;;oui;oui;;;;01/01/2023||31/12/2023||Ouvert du mardi au dimanche||Fermé le lundi||||||||||12:00||14:00||19:00||21:30||12:00||14:00||19:00||21:30||12:00||14:00||19:00||21:30||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||12:00||14:00||19:00||21:30;||07 52 03 60 36||mh.gourmet44600@gmail.com;;;Plats à la carte||10,90||15,90||;Cartes bancaires,Chèques Vacances,Espèces,Tickets Restaurant;47.27492, -2.209;Loire-Atlantique
KER JULIETTE;;;;1 esplanade de la gare;;49100;;;ANGERS;49007;47.46461;-0.55539;;06 79 28 22 54;;;contact@kerjuliette.fr;http://www.kerjuliette.fr/;;;;;;;;;;;Service en terrasse;;;;;;;;;;;;"01/01/2021||31/12/2021||||||12:00||21:00||||||12:00||21:00||||||12:00||21:00||||||12:00||21:00||||||12:00||21:30||||||12:00||19:30||||||12:30||21:30|||| ; 01/01/2022||31/12/2022||||||07:00||21:00||||||07:00||21:00||||||07:00||21:00||||||07:00||21:00||||||07:00||21:30||||||11:30||21:00||||||11:30||21:30||||";;;;;Cartes bancaires,Espèces,Tickets Restaurant;47.46461, -0.55539;Maine-et-Loire
L'ABELIA;;Restaurant gastronomique - cuisine raffinée;;125 Boulevard des Poilus;;44300;;;NANTES;44109;47.2322643;-1.5316317;;;02 40 35 40 00;;;http://www.restaurantlabelia.com;;;;;Bottin Gourmand,Gault Millau,Les Tables de Nantes,Michelin;;;;;Labellisé Restaurateurs de France,Maitres Restaurateurs;;;;;;;;;;;;;;;oui;||http://www.nantes-tourisme.com/book/115326||||||;;;47.2322643, -1.5316317;Loire-Atlantique
L'AGAPÉ - BISTROT GOURMAND;Restaurant;Cuisine traditionnelle;;11 faubourg Saint-Michel;Face Porte Saint-Michel;44350;;;GUERANDE;44069;47.32704;-2.4262;;;02 40 11 78 78;;lagape.bistrotgourmand@orange.fr;http://www.lagapebistrot.com;;;;;Guide du Routard Pays de la Loire;;;oui;;;Service en terrasse,WiFi;34;;20;;;;oui;oui;;55;;21/02/2023||31/12/2023||Variable selon saison||||||||||||12:00||13:15||||||12:00||13:15||||||12:00||13:15||||||12:00||13:15||19:30||20:30||12:00||13:15||19:30||20:30||||||||;;;;Menu adulte du jour (midi en semaine)||28,50||39,50||;Cartes bancaires,Chèques Vacances,Espèces;47.32704, -2.4262;Loire-Atlantique
L'ALBATROS;Restaurant;Cuisine traditionnelle;;Avenue Scalby Newby;Le Golf de Pornic;44210;;;PORNIC;44131;47.12057;-2.11988;;;02 40 82 06 69;;restau.pornic@bluegreen.fr;;;;;;Le petit futé;;;oui;;;Séminaire,WiFi;80;1;80;4;5;;oui;oui;20;200;;;;;;;Cartes bancaires,Chèques bancaires et postaux,Espèces,Tickets Restaurant;47.12057, -2.11988;Loire-Atlantique
L'ANA'GRAM;Restaurant;Cuisine traditionnelle;;Place du Petit Nice;70 quai Leray;44210;;;PORNIC;44131;47.11471;-2.10413;;;02 40 82 51 25;;anagram44@free.fr;https://www.restaurantlanagram.com/;;;;;Gault Millau,Le petit futé;;;oui;;;Plats à emporter,WiFi;45;1;90;;;;oui;oui;15;50;;;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.11471, -2.10413;Loire-Atlantique
L'ANCRE D'OR;Restaurant;Cuisine traditionnelle;;16 place de l'Eglise;;44320;;;FROSSAY;44061;47.24415;-1.93434;;;02 40 39 94 06;;lancredor44@free.fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.24415, -1.93434;Loire-Atlantique
L'ANDOL;Restaurant;Brasserie;5 rue du Maine;;;53240;;;ANDOUILLE;53005;48.1767708;-0.7841706;;;02 43 90 07 64;;landol@orange.fr;;;;;;;;;oui;;;WiFi;35;1;;;;;oui;oui;;50;;||||||Mercredi toute la journée et dimanche soir||||||||||||||||||||||||||||||||||||||||||||||||||||||||;MALARD||02 43 90 07 64||landol@orange.fr;;;;Cartes bancaires,Chèques bancaires et postaux;48.1767708, -0.7841706;Mayenne
L'APORRHAIS;Restaurant;Cuisine traditionnelle;;20 route de la Govelle;Plage de la Govelle;44740;;;BATZ-SUR-MER;44010;47.26686;-2.45383;;;02 40 23 39 64;;restaurantlaporrhais@orange.fr;https://www.laporrhais.fr/;;;;;;;;;;;Service en terrasse;;;;;;;;;;;;;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces;47.26686, -2.45383;Loire-Atlantique
L'ARDOISE;Restaurant;Cuisine traditionnelle;;8 Rue Jules Lambert;;72220;;;SAINT-MARS-D'OUTILLE;72299;47.87073;0.33395;;;02 43 57 79 07;;lardoise.doutille@gmail.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.87073, 0.33395;Sarthe
L'ATELIER DU SANDWICH;Restaurant;Restauration rapide;;22 quai du 11 Novembre;;44210;;;PORNIC;44131;47.11541;-2.09948;;;09 86 25 22 12;;ateliersandwich@gmail.com;http://atelierdusandwich.com;;;;;;;;oui;;;Plats à emporter;20;1;20;;;;oui;oui;;;;;;;;;Cartes bancaires,Chèques Vacances,Espèces,Tickets Restaurant;47.11541, -2.09948;Loire-Atlantique
L'AUBERGE DU MENHIR;Restaurant;Cuisine traditionnelle;;29 route des Quatre Vents - Parc d'Activité de Brais Pedras;;44600;;;SAINT-NAZAIRE;44184;47.2817961;-2.295854;Transport en commun||Ligne U4. Arrêt: Fresnel||1;;02 40 90 00 00;;auberge.menhir@gmail.com;http://www.laubergedumenhir.com/;;"Facebook||https://www.facebook.com/LAuberge-du-Menhir-946836972029716/ ; Twitter||https://twitter.com/AubergeDuMenhir";;;;;;oui;;;Service en terrasse;110;;30;;;;oui;oui;;40;oui;09/01/2023||24/12/2023||Ouvert du lundi au samedi||Fermé les soirs de semaine, et le dimanche (2 services)||12:00||15:00||||||12:00||15:00||||||12:00||15:00||||||12:00||15:00||||||12:00||15:00||19:00||22:00||12:00||15:00||19:00||22:00||||||||;||02 40 90 00 00||auberge.menhir@gmail.com;;;"Menu adulte du jour (midi en semaine)||12,50||17,50|| ; Menu adulte soir et week-end||32,00||38,00||";Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Tickets Restaurant;47.2817961, -2.295854;Loire-Atlantique
